output_column,role,analysis_group,source_column,source_file,source_grain,aggregation,description,datasource,measurement,unit,depth,source_summary_stat,source_summary_class,source_observation_count_full_daily_table,notes,output_index,output_type,output_nonmissing_rows,output_nonmissing_fraction,analysis_start,analysis_end,output_grain,join_key,missing_value
root.mass.per.area_g.m2_rootsoilcores__monthly_mean,covariate,core,root.mass.per.area_g.m2_rootsoilcores,joined_data_flux_final_2_daily.csv,daily,mean,Calendar-month mean of non-missing daily root.mass.per.area_g.m2_rootsoilcores values within plot.,rootsoilcores,root.mass.per.area,g.m2,,,none,44,"Observed source values only; no temporal interpolation or imputation. If a plot had multiple observation dates in a month, their arithmetic mean is reported. Existing source-level means and SDs retain their original meaning.",56,numeric,17,0.0337301587301587,2017-05-01,2024-04-30,one row per TRACE plot and calendar month,plot + year_month,blank field in CSV
rtd_g_cm3_rootsoilcores__monthly_mean,covariate,core,rtd_g_cm3_rootsoilcores,joined_data_flux_final_2_daily.csv,daily,mean,Calendar-month mean of non-missing daily rtd_g_cm3_rootsoilcores values within plot.,rootsoilcores,rtd,g.cm3,,,none,42,"Observed source values only; no temporal interpolation or imputation. If a plot had multiple observation dates in a month, their arithmetic mean is reported. Existing source-level means and SDs retain their original meaning.",57,numeric,17,0.0337301587301587,2017-05-01,2024-04-30,one row per TRACE plot and calendar month,plot + year_month,blank field in CSV
srl_cm.g_rootsoilcores__monthly_mean,covariate,core,srl_cm.g_rootsoilcores,joined_data_flux_final_2_daily.csv,daily,mean,Calendar-month mean of non-missing daily srl_cm.g_rootsoilcores values within plot.,rootsoilcores,srl,cm.g,,,none,42,"Observed source values only; no temporal interpolation or imputation. If a plot had multiple observation dates in a month, their arithmetic mean is reported. Existing source-level means and SDs retain their original meaning.",58,numeric,17,0.0337301587301587,2017-05-01,2024-04-30,one row per TRACE plot and calendar month,plot + year_month,blank field in CSV
surface.area_cm2_rootsoilcores__monthly_mean,covariate,core,surface.area_cm2_rootsoilcores,joined_data_flux_final_2_daily.csv,daily,mean,Calendar-month mean of non-missing daily surface.area_cm2_rootsoilcores values within plot.,rootsoilcores,surface.area,cm2,,,none,42,"Observed source values only; no temporal interpolation or imputation. If a plot had multiple observation dates in a month, their arithmetic mean is reported. Existing source-level means and SDs retain their original meaning.",59,numeric,17,0.0337301587301587,2017-05-01,2024-04-30,one row per TRACE plot and calendar month,plot + year_month,blank field in CSV
tc.tn_ratio_SD_nutrient.cores__monthly_mean,covariate,core,tc.tn_ratio_SD_nutrient.cores,joined_data_flux_final_2_daily.csv,daily,mean,Calendar-month mean of non-missing daily tc.tn_ratio_SD_nutrient.cores values within plot.,nutrient.cores,tc.tn,ratio,,SD,spread,96,"Observed source values only; no temporal interpolation or imputation. If a plot had multiple observation dates in a month, their arithmetic mean is reported. Existing source-level means and SDs retain their original meaning.",60,numeric,78,0.154761904761905,2017-05-01,2024-04-30,one row per TRACE plot and calendar month,plot + year_month,blank field in CSV
tc.tn_ratio_mean_nutrient.cores__monthly_mean,covariate,core,tc.tn_ratio_mean_nutrient.cores,joined_data_flux_final_2_daily.csv,daily,mean,Calendar-month mean of non-missing daily tc.tn_ratio_mean_nutrient.cores values within plot.,nutrient.cores,tc.tn,ratio,,mean,mean,120,"Observed source values only; no temporal interpolation or imputation. If a plot had multiple observation dates in a month, their arithmetic mean is reported. Existing source-level means and SDs retain their original meaning.",61,numeric,84,0.166666666666667,2017-05-01,2024-04-30,one row per TRACE plot and calendar month,plot + year_month,blank field in CSV
tc_g.g.soil_SD_nutrient.cores__monthly_mean,covariate,core,tc_g.g.soil_SD_nutrient.cores,joined_data_flux_final_2_daily.csv,daily,mean,Calendar-month mean of non-missing daily tc_g.g.soil_SD_nutrient.cores values within plot.,nutrient.cores,tc,g.g.soil,,SD,spread,96,"Observed source values only; no temporal interpolation or imputation. If a plot had multiple observation dates in a month, their arithmetic mean is reported. Existing source-level means and SDs retain their original meaning.",62,numeric,78,0.154761904761905,2017-05-01,2024-04-30,one row per TRACE plot and calendar month,plot + year_month,blank field in CSV
tc_g.g.soil_mean_nutrient.cores__monthly_mean,covariate,core,tc_g.g.soil_mean_nutrient.cores,joined_data_flux_final_2_daily.csv,daily,mean,Calendar-month mean of non-missing daily tc_g.g.soil_mean_nutrient.cores values within plot.,nutrient.cores,tc,g.g.soil,,mean,mean,120,"Observed source values only; no temporal interpolation or imputation. If a plot had multiple observation dates in a month, their arithmetic mean is reported. Existing source-level means and SDs retain their original meaning.",63,numeric,84,0.166666666666667,2017-05-01,2024-04-30,one row per TRACE plot and calendar month,plot + year_month,blank field in CSV
tips_count_rootsoilcores__monthly_mean,covariate,core,tips_count_rootsoilcores,joined_data_flux_final_2_daily.csv,daily,mean,Calendar-month mean of non-missing daily tips_count_rootsoilcores values within plot.,rootsoilcores,tips,count,,,none,42,"Observed source values only; no temporal interpolation or imputation. If a plot had multiple observation dates in a month, their arithmetic mean is reported. Existing source-level means and SDs retain their original meaning.",64,numeric,17,0.0337301587301587,2017-05-01,2024-04-30,one row per TRACE plot and calendar month,plot + year_month,blank field in CSV
tn_g.g.soil_SD_nutrient.cores__monthly_mean,covariate,core,tn_g.g.soil_SD_nutrient.cores,joined_data_flux_final_2_daily.csv,daily,mean,Calendar-month mean of non-missing daily tn_g.g.soil_SD_nutrient.cores values within plot.,nutrient.cores,tn,g.g.soil,,SD,spread,96,"Observed source values only; no temporal interpolation or imputation. If a plot had multiple observation dates in a month, their arithmetic mean is reported. Existing source-level means and SDs retain their original meaning.",65,numeric,78,0.154761904761905,2017-05-01,2024-04-30,one row per TRACE plot and calendar month,plot + year_month,blank field in CSV
tn_g.g.soil_mean_nutrient.cores__monthly_mean,covariate,core,tn_g.g.soil_mean_nutrient.cores,joined_data_flux_final_2_daily.csv,daily,mean,Calendar-month mean of non-missing daily tn_g.g.soil_mean_nutrient.cores values within plot.,nutrient.cores,tn,g.g.soil,,mean,mean,120,"Observed source values only; no temporal interpolation or imputation. If a plot had multiple observation dates in a month, their arithmetic mean is reported. Existing source-level means and SDs retain their original meaning.",66,numeric,84,0.166666666666667,2017-05-01,2024-04-30,one row per TRACE plot and calendar month,plot + year_month,blank field in CSV
total.dead.mass_g_rootsoilcores__monthly_mean,covariate,core,total.dead.mass_g_rootsoilcores,joined_data_flux_final_2_daily.csv,daily,mean,Calendar-month mean of non-missing daily total.dead.mass_g_rootsoilcores values within plot.,rootsoilcores,total.dead.mass,g,,,none,44,"Observed source values only; no temporal interpolation or imputation. If a plot had multiple observation dates in a month, their arithmetic mean is reported. Existing source-level means and SDs retain their original meaning.",67,numeric,17,0.0337301587301587,2017-05-01,2024-04-30,one row per TRACE plot and calendar month,plot + year_month,blank field in CSV
ubial.c.n_ratio_SD_nutrient.cores__monthly_mean,covariate,microbial_biomass,ubial.c.n_ratio_SD_nutrient.cores,joined_data_flux_final_2_daily.csv,daily,mean,Calendar-month mean of non-missing daily ubial.c.n_ratio_SD_nutrient.cores values within plot.,nutrient.cores,ubial.c.n,ratio,,SD,spread,92,"Observed source values only; no temporal interpolation or imputation. If a plot had multiple observation dates in a month, their arithmetic mean is reported. Existing source-level means and SDs retain their original meaning.",68,numeric,78,0.154761904761905,2017-05-01,2024-04-30,one row per TRACE plot and calendar month,plot + year_month,blank field in CSV
ubial.c.n_ratio_mean_nutrient.cores__monthly_mean,covariate,microbial_biomass,ubial.c.n_ratio_mean_nutrient.cores,joined_data_flux_final_2_daily.csv,daily,mean,Calendar-month mean of non-missing daily ubial.c.n_ratio_mean_nutrient.cores values within plot.,nutrient.cores,ubial.c.n,ratio,,mean,mean,120,"Observed source values only; no temporal interpolation or imputation. If a plot had multiple observation dates in a month, their arithmetic mean is reported. Existing source-level means and SDs retain their original meaning.",69,numeric,84,0.166666666666667,2017-05-01,2024-04-30,one row per TRACE plot and calendar month,plot + year_month,blank field in CSV
ubial.c_ug.g.soil_SD_nutrient.cores__monthly_mean,covariate,microbial_biomass,ubial.c_ug.g.soil_SD_nutrient.cores,joined_data_flux_final_2_daily.csv,daily,mean,Calendar-month mean of non-missing daily ubial.c_ug.g.soil_SD_nutrient.cores values within plot.,nutrient.cores,ubial.c,ug.g.soil,,SD,spread,96,"Observed source values only; no temporal interpolation or imputation. If a plot had multiple observation dates in a month, their arithmetic mean is reported. Existing source-level means and SDs retain their original meaning.",70,numeric,78,0.154761904761905,2017-05-01,2024-04-30,one row per TRACE plot and calendar month,plot + year_month,blank field in CSV
ubial.c_ug.g.soil_mean_nutrient.cores__monthly_mean,covariate,microbial_biomass,ubial.c_ug.g.soil_mean_nutrient.cores,joined_data_flux_final_2_daily.csv,daily,mean,Calendar-month mean of non-missing daily ubial.c_ug.g.soil_mean_nutrient.cores values within plot.,nutrient.cores,ubial.c,ug.g.soil,,mean,mean,120,"Observed source values only; no temporal interpolation or imputation. If a plot had multiple observation dates in a month, their arithmetic mean is reported. Existing source-level means and SDs retain their original meaning.",71,numeric,84,0.166666666666667,2017-05-01,2024-04-30,one row per TRACE plot and calendar month,plot + year_month,blank field in CSV
ubial.n_ug.g.soil_SD_nutrient.cores__monthly_mean,covariate,microbial_biomass,ubial.n_ug.g.soil_SD_nutrient.cores,joined_data_flux_final_2_daily.csv,daily,mean,Calendar-month mean of non-missing daily ubial.n_ug.g.soil_SD_nutrient.cores values within plot.,nutrient.cores,ubial.n,ug.g.soil,,SD,spread,96,"Observed source values only; no temporal interpolation or imputation. If a plot had multiple observation dates in a month, their arithmetic mean is reported. Existing source-level means and SDs retain their original meaning.",72,numeric,78,0.154761904761905,2017-05-01,2024-04-30,one row per TRACE plot and calendar month,plot + year_month,blank field in CSV
ubial.n_ug.g.soil_mean_nutrient.cores__monthly_mean,covariate,microbial_biomass,ubial.n_ug.g.soil_mean_nutrient.cores,joined_data_flux_final_2_daily.csv,daily,mean,Calendar-month mean of non-missing daily ubial.n_ug.g.soil_mean_nutrient.cores values within plot.,nutrient.cores,ubial.n,ug.g.soil,,mean,mean,120,"Observed source values only; no temporal interpolation or imputation. If a plot had multiple observation dates in a month, their arithmetic mean is reported. Existing source-level means and SDs retain their original meaning.",73,numeric,84,0.166666666666667,2017-05-01,2024-04-30,one row per TRACE plot and calendar month,plot + year_month,blank field in CSV
ubial.p_ug.g.soil_SD_nutrient.cores__monthly_mean,covariate,microbial_biomass,ubial.p_ug.g.soil_SD_nutrient.cores,joined_data_flux_final_2_daily.csv,daily,mean,Calendar-month mean of non-missing daily ubial.p_ug.g.soil_SD_nutrient.cores values within plot.,nutrient.cores,ubial.p,ug.g.soil,,SD,spread,96,"Observed source values only; no temporal interpolation or imputation. If a plot had multiple observation dates in a month, their arithmetic mean is reported. Existing source-level means and SDs retain their original meaning.",74,numeric,78,0.154761904761905,2017-05-01,2024-04-30,one row per TRACE plot and calendar month,plot + year_month,blank field in CSV
ubial.p_ug.g.soil_mean_nutrient.cores__monthly_mean,covariate,microbial_biomass,ubial.p_ug.g.soil_mean_nutrient.cores,joined_data_flux_final_2_daily.csv,daily,mean,Calendar-month mean of non-missing daily ubial.p_ug.g.soil_mean_nutrient.cores values within plot.,nutrient.cores,ubial.p,ug.g.soil,,mean,mean,114,"Observed source values only; no temporal interpolation or imputation. If a plot had multiple observation dates in a month, their arithmetic mean is reported. Existing source-level means and SDs retain their original meaning.",75,numeric,78,0.154761904761905,2017-05-01,2024-04-30,one row per TRACE plot and calendar month,plot + year_month,blank field in CSV
rootstock_g.m2_0-10_minirhizotron__monthly_mean,covariate,minirhizotron_0_30cm,rootstock_g.m2_0-10_minirhizotron,joined_data_flux_final_2_daily.csv,daily,mean,Calendar-month mean of non-missing daily rootstock_g.m2_0-10_minirhizotron values within plot.,minirhizotron,rootstock,g.m2,0-10cm,,none,300,"Observed source values only; no temporal interpolation or imputation. If a plot had multiple observation dates in a month, their arithmetic mean is reported. Existing source-level means and SDs retain their original meaning.",76,numeric,144,0.285714285714286,2017-05-01,2024-04-30,one row per TRACE plot and calendar month,plot + year_month,blank field in CSV
rootstock_g.m2_10-20_minirhizotron__monthly_mean,covariate,minirhizotron_0_30cm,rootstock_g.m2_10-20_minirhizotron,joined_data_flux_final_2_daily.csv,daily,mean,Calendar-month mean of non-missing daily rootstock_g.m2_10-20_minirhizotron values within plot.,minirhizotron,rootstock,g.m2,10-20cm,,none,300,"Observed source values only; no temporal interpolation or imputation. If a plot had multiple observation dates in a month, their arithmetic mean is reported. Existing source-level means and SDs retain their original meaning.",77,numeric,144,0.285714285714286,2017-05-01,2024-04-30,one row per TRACE plot and calendar month,plot + year_month,blank field in CSV
rootstock_g.m2_20-30_minirhizotron__monthly_mean,covariate,minirhizotron_0_30cm,rootstock_g.m2_20-30_minirhizotron,joined_data_flux_final_2_daily.csv,daily,mean,Calendar-month mean of non-missing daily rootstock_g.m2_20-30_minirhizotron values within plot.,minirhizotron,rootstock,g.m2,20-30cm,,none,192,"Observed source values only; no temporal interpolation or imputation. If a plot had multiple observation dates in a month, their arithmetic mean is reported. Existing source-level means and SDs retain their original meaning.",78,numeric,84,0.166666666666667,2017-05-01,2024-04-30,one row per TRACE plot and calendar month,plot + year_month,blank field in CSV
rootgrowth_g.m2.day_0-10_minirhizotron__monthly_mean,covariate,minirhizotron_0_30cm,rootgrowth_g.m2.day_0-10_minirhizotron,joined_data_flux_final_2_daily.csv,daily,mean,Calendar-month mean of non-missing daily rootgrowth_g.m2.day_0-10_minirhizotron values within plot.,minirhizotron,rootgrowth,g.m2.day,0-10cm,,none,192,"Observed source values only; no temporal interpolation or imputation. If a plot had multiple observation dates in a month, their arithmetic mean is reported. Existing source-level means and SDs retain their original meaning.",79,numeric,84,0.166666666666667,2017-05-01,2024-04-30,one row per TRACE plot and calendar month,plot + year_month,blank field in CSV
rootgrowth_g.m2.day_10-20_minirhizotron__monthly_mean,covariate,minirhizotron_0_30cm,rootgrowth_g.m2.day_10-20_minirhizotron,joined_data_flux_final_2_daily.csv,daily,mean,Calendar-month mean of non-missing daily rootgrowth_g.m2.day_10-20_minirhizotron values within plot.,minirhizotron,rootgrowth,g.m2.day,10-20cm,,none,192,"Observed source values only; no temporal interpolation or imputation. If a plot had multiple observation dates in a month, their arithmetic mean is reported. Existing source-level means and SDs retain their original meaning.",80,numeric,84,0.166666666666667,2017-05-01,2024-04-30,one row per TRACE plot and calendar month,plot + year_month,blank field in CSV
rootgrowth_g.m2.day_20-30_minirhizotron__monthly_mean,covariate,minirhizotron_0_30cm,rootgrowth_g.m2.day_20-30_minirhizotron,joined_data_flux_final_2_daily.csv,daily,mean,Calendar-month mean of non-missing daily rootgrowth_g.m2.day_20-30_minirhizotron values within plot.,minirhizotron,rootgrowth,g.m2.day,20-30cm,,none,192,"Observed source values only; no temporal interpolation or imputation. If a plot had multiple observation dates in a month, their arithmetic mean is reported. Existing source-level means and SDs retain their original meaning.",81,numeric,84,0.166666666666667,2017-05-01,2024-04-30,one row per TRACE plot and calendar month,plot + year_month,blank field in CSV
rootmortality_g.m2.day_0-10_minirhizotron__monthly_mean,covariate,minirhizotron_0_30cm,rootmortality_g.m2.day_0-10_minirhizotron,joined_data_flux_final_2_daily.csv,daily,mean,Calendar-month mean of non-missing daily rootmortality_g.m2.day_0-10_minirhizotron values within plot.,minirhizotron,rootmortality,g.m2.day,0-10cm,,none,192,"Observed source values only; no temporal interpolation or imputation. If a plot had multiple observation dates in a month, their arithmetic mean is reported. Existing source-level means and SDs retain their original meaning.",82,numeric,84,0.166666666666667,2017-05-01,2024-04-30,one row per TRACE plot and calendar month,plot + year_month,blank field in CSV
rootmortality_g.m2.day_10-20_minirhizotron__monthly_mean,covariate,minirhizotron_0_30cm,rootmortality_g.m2.day_10-20_minirhizotron,joined_data_flux_final_2_daily.csv,daily,mean,Calendar-month mean of non-missing daily rootmortality_g.m2.day_10-20_minirhizotron values within plot.,minirhizotron,rootmortality,g.m2.day,10-20cm,,none,192,"Observed source values only; no temporal interpolation or imputation. If a plot had multiple observation dates in a month, their arithmetic mean is reported. Existing source-level means and SDs retain their original meaning.",83,numeric,84,0.166666666666667,2017-05-01,2024-04-30,one row per TRACE plot and calendar month,plot + year_month,blank field in CSV
rootmortality_g.m2.day_20-30_minirhizotron__monthly_mean,covariate,minirhizotron_0_30cm,rootmortality_g.m2.day_20-30_minirhizotron,joined_data_flux_final_2_daily.csv,daily,mean,Calendar-month mean of non-missing daily rootmortality_g.m2.day_20-30_minirhizotron values within plot.,minirhizotron,rootmortality,g.m2.day,20-30cm,,none,192,"Observed source values only; no temporal interpolation or imputation. If a plot had multiple observation dates in a month, their arithmetic mean is reported. Existing source-level means and SDs retain their original meaning.",84,numeric,84,0.166666666666667,2017-05-01,2024-04-30,one row per TRACE plot and calendar month,plot + year_month,blank field in CSV
